energy|moveLevel|nodeType|displayTextShort|displayTextFull|description|positionQ|positionR
0|1|1|Spd +5|Speed +5||0|-1
0|1|1|HP +10|HP +10||1|-1
0|1|1|Attack +5|Attack +5||1|0
0|1|1|Defense +5|Defense +5||0|1
0|1|1|Sp. Atk +5|Sp. Atk +5||-1|1
0|1|1|Sp. Def +5|Sp. Def +5||-1|0
7|1|5|Speeding Sun 3|Speeding Sun 3|Quickly charges the move gauge when the weather is sunny.|-1|-1
7|1|5|Solar Shield|Solar Shield|This Pokémon is not affected by status conditions when the weather is sunny.|-2|0
7|1|3|D.H.+ MPR 2|Dire Hit+ MP Refresh 2|Has a moderate chance of restoring one MP of the move used if the move is successful.|-3|1
2|1|1|HP +10|HP +10||-2|1
2|1|1|HP +10|HP +10||1|1
2|1|1|Sp. Def +5|Sp. Def +5||2|0
2|1|1|HP +10|HP +10||2|-1
7|1|3|N.T.B. MPR 2|No Turning Back! MP Refresh 2|Has a moderate chance of restoring one MP of the move used if the move is successful.|3|-1
2|1|1|Attack +5|Attack +5||-1|2
2|1|1|Defense +5|Defense +5||-2|3
2|1|1|Sp. Def +5|Sp. Def +5||-1|3
7|1|3|B. Seed MGR 3|Bullet Seed: Move Gauge Refresh 3|Has a moderately good chance of charging the user's move gauge by one when a move is successful.|-2|4
4|1|2|B. Seed +1|Bullet Seed: Power +1||-3|4
4|1|2|B. Seed +1|Bullet Seed: Power +1||-3|5
2|1|1|Speed +5|Speed +5||1|-2
2|1|1|Defense +5|Defense +5||1|-3
2|1|1|Sp. Def +5|Sp. Def +5||2|-3
7|1|3|L.S. MGR 3|Leaf Storm: Move Gauge Refresh 3|Has a moderately good chance of charging the user's move gauge by one when a move is successful.|2|-4
4|1|2|Leaf Storm +3|Leaf Storm: Power +3||3|-4
4|1|2|Leaf Storm +3|Leaf Storm: Power +3||3|-5
7|2|5|Healing Sun 1|Healing Sun 1|Restores the Pokémon's HP whenever it takes an action while the weather is sunny.|-3|0
8|2|1|Sp. Atk +20|Sp. Atk +20||-2|-1
4|2|2|Leaf Storm +3|Leaf Storm: Power +3||-1|-2
4|2|2|Leaf Storm +3|Leaf Storm: Power +3||1|-4
5|2|2|L.S. Acc +5|Leaf Storm: Accuracy +5||2|-5
7|2|1|Speed +20|Speed +20||3|-6
8|2|5|Inertia|Inertia|The higher the user's Speed, the more it powers up sync moves.|-3|6
4|2|2|B. Seed +1|Bullet Seed: Power +1||-2|5
4|2|1|Attack +10|Attack +10||-1|4
4|2|2|B. Seed +1|Bullet Seed: Power +1||1|2
8|2|5|Ramming Speed|Ramming Speed|The more the user's Speed has been raised, the more it powers up moves|2|1
8|2|3|B. Seed S 1|Bullet Seed: Staggering 1|Has a small chance of making the target flinch when an attack is successful.|3|0
5|3|4|Sync +25|Leaf Blade of Sundering: Power +25||-3|-1
10|3|5|Charging Sun 5|Charging Sun 5|Powers up moves when the weather is sunny.|-2|-2
5|3|4|Sync +25|Leaf Blade of Sundering: Power +25||0|-3
10|3|3|L.S. MS 2|Leaf Storm Mind Swell 2|Has a moderate chance of raising the user's Sp. Atk when the user's Pokémon uses a move.|1|-5
5|3|2|L.S. Acc +5|Leaf Storm: Accuracy +5||2|-6
10|3|5|Amped Up 1|Amped Up 1|Raises the Pokémon's Speed when it lands a critical hit.|-2|6
4|3|2|B. Seed +1|B. Seed +1||-1|5
5|3|4|Sync +25|Leaf Blade of Sundering: Power +25||0|3
10|3|5|Brainy Rush 6|Brainy Rush 6|Radically raises the user's Sp. Atk after using a sync move.|2|2
5|3|4|Sync +25|Leaf Blade of Sundering: Power +25||3|1
